type_methode,age_grp,statut_mat,parite,instruction,richesse,milieu,religion,expo_media,poids,utilise
Aucune,30-34,En union,Non nullipare,Secondaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,30-34,En union,Non nullipare,Secondaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,30-34,En union,Non nullipare,Secondaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,30-34,En union,Non nullipare,Secondaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,15-19,Anciennement en union,Non nullipare,Aucun,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,20-24,En union,Non nullipare,Secondaire,Riche,Urbain,Musulmane,Exposee,0.990064,0
Aucune,20-24,En union,Non nullipare,Primaire,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,15-19,En union,Non nullipare,Primaire,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Catholique,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Catholique,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Catholique,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Primaire,Moyen,Urbain,Catholique,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,40-44,En union,Non nullipare,Aucun,Moyen,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,30-34,Anciennement en union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Non exposee,0.990064,0
Aucune,30-34,Anciennement en union,Non nullipare,Primaire,Moyen,Urbain,Protestante,Non exposee,0.990064,0
Aucune,15-19,En union,Non nullipare,Primaire,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Aucune,35-39,En union,Non nullipare,Aucun,Pauvre,Urbain,Musulmane,Non exposee,0.990064,0
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,1
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,1
Aucune,25-29,En union,Non nullipare,Aucun,Moyen,Urbain,Animiste,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Aucun,Moyen,Urbain,Animiste,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Aucun,Moyen,Urbain,Animiste,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Aucun,Moyen,Urbain,Animiste,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Urbain,Catholique,Non exposee,0.990064,0
Aucune,45-49,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Moderne,15-19,Jamais en union,Non nullipare,Secondaire,Moyen,Rural,Catholique,Exposee,0.456452,1
Moderne,15-19,Jamais en union,Non nullipare,Secondaire,Moyen,Rural,Catholique,Exposee,0.456452,1
Aucune,35-39,Anciennement en union,Non nullipare,Primaire,Moyen,Rural,Catholique,Exposee,0.456452,0
Aucune,35-39,Anciennement en union,Non nullipare,Primaire,Moyen,Rural,Catholique,Exposee,0.456452,0
Aucune,35-39,Anciennement en union,Non nullipare,Primaire,Moyen,Rural,Catholique,Exposee,0.456452,0
Aucune,35-39,Anciennement en union,Non nullipare,Primaire,Moyen,Rural,Catholique,Exposee,0.456452,0
Aucune,35-39,Anciennement en union,Non nullipare,Primaire,Moyen,Rural,Catholique,Exposee,0.456452,0
Aucune,35-39,Anciennement en union,Non nullipare,Primaire,Moyen,Rural,Catholique,Exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Moderne,45-49,En union,Non nullipare,Superieur,Tres riche,Rural,Catholique,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Superieur,Tres riche,Rural,Catholique,Non exposee,0.456452,1
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,1
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,1
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,1
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,1
Moderne,30-34,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,1
Aucune,20-24,Anciennement en union,Non nullipare,Primaire,Tres pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Moyen,Rural,Catholique,Non exposee,0.456452,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,25-29,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Aucune,35-39,En union,Non nullipare,Primaire,Pauvre,Rural,Catholique,Non exposee,0.456452,0
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
Moderne,45-49,En union,Non nullipare,Primaire,Pauvre,Rural,Protestante,Non exposee,0.456452,1
