Variable,Importance
religion_Musulmane,0.15226065216510656
instruction_Primaire,0.10921420171096222
instruction_Secondaire,0.09966079517822664
expo_media_Exposee,0.08713903352204962
milieu_Urbain,0.06236657669627126
age_grp_45-49,0.06193962442087581
religion_Autres chretiens,0.05080163625556197
richesse_Moyen,0.042177775293981964
statut_mat_Anciennement en union,0.03545266192699134
richesse_Pauvre,0.03211665893992433
instruction_Superieur,0.030493645635400753
richesse_Tres riche,0.029767951952603157
religion_Protestante,0.02953239726756988
age_grp_35-39,0.024409757908406854
richesse_Riche,0.023165461202984784
age_grp_40-44,0.021526615525917347
age_grp_30-34,0.019819912315934704
age_grp_25-29,0.01976446068016712
age_grp_20-24,0.019457497341872517
religion_Animiste,0.01913452819849398
statut_mat_Jamais en union,0.01881576084140566
religion_Sans religion,0.010749668052454895
parite_Non nullipare,0.00023272696683649
