,OR,IC 2.5%,IC 97.5%,p-valeur,Sig.
const,0.023,0.013,0.042,0.0,***
age_grp_20-24,1.115,0.907,1.371,0.3023,ns
age_grp_25-29,0.957,0.779,1.175,0.6728,ns
age_grp_30-34,0.902,0.731,1.112,0.3342,ns
age_grp_35-39,0.788,0.636,0.975,0.0286,*
age_grp_40-44,0.491,0.394,0.612,0.0,***
age_grp_45-49,0.297,0.236,0.373,0.0,***
statut_mat_Jamais en union,1.186,1.061,1.324,0.0026,**
statut_mat_Anciennement en union,0.976,0.888,1.073,0.6151,ns
parite_1,1.329,0.769,2.297,0.3079,ns
parite_2,1.604,0.931,2.763,0.0886,ns
parite_3,1.802,1.046,3.105,0.0339,*
parite_4,2.032,1.178,3.505,0.0108,*
parite_5,2.475,1.433,4.276,0.0012,**
parite_6+,2.639,1.529,4.553,0.0005,***
instruction_Primaire,3.71,3.283,4.194,0.0,***
instruction_Secondaire,4.23,3.703,4.832,0.0,***
instruction_Superieur,5.615,4.625,6.816,0.0,***
richesse_Pauvre,2.081,1.825,2.373,0.0,***
richesse_Moyen,2.248,1.962,2.577,0.0,***
richesse_Riche,2.143,1.833,2.505,0.0,***
richesse_Tres riche,2.481,2.097,2.937,0.0,***
milieu_Urbain,1.235,1.142,1.337,0.0,***
religion_Protestante,0.814,0.758,0.874,0.0,***
religion_Autres chretiens,1.258,1.135,1.394,0.0,***
religion_Musulmane,0.537,0.488,0.591,0.0,***
religion_Animiste,0.389,0.247,0.612,0.0,***
religion_Sans religion,0.819,0.642,1.046,0.1101,ns
expo_media_Exposee,1.111,1.031,1.197,0.0059,**
