,OR,IC 2.5%,IC 97.5%,p-valeur,Sig.
const,0.036,0.017,0.076,0.0,***
age_grp_20-24,0.929,0.64,1.35,0.7005,ns
age_grp_25-29,0.691,0.476,1.004,0.0528,ns
age_grp_30-34,0.627,0.428,0.918,0.0164,*
age_grp_35-39,0.82,0.558,1.203,0.3095,ns
age_grp_40-44,0.629,0.426,0.931,0.0203,*
age_grp_45-49,0.358,0.237,0.541,0.0,***
statut_mat_Jamais en union,0.548,0.426,0.704,0.0,***
statut_mat_Anciennement en union,0.506,0.408,0.627,0.0,***
parite_1,0.454,0.232,0.891,0.0217,*
parite_2,0.502,0.259,0.974,0.0417,*
parite_3,0.448,0.231,0.871,0.0179,*
parite_4,0.487,0.25,0.947,0.0339,*
parite_5,0.706,0.363,1.374,0.3058,ns
parite_6+,0.583,0.3,1.131,0.1107,ns
instruction_Primaire,3.148,2.494,3.974,0.0,***
instruction_Secondaire,3.273,2.538,4.222,0.0,***
instruction_Superieur,7.244,5.169,10.153,0.0,***
richesse_Pauvre,1.752,1.384,2.217,0.0,***
richesse_Moyen,1.703,1.328,2.184,0.0,***
richesse_Riche,1.22,0.909,1.637,0.1863,ns
richesse_Tres riche,1.608,1.175,2.199,0.003,**
milieu_Urbain,1.424,1.224,1.657,0.0,***
religion_Protestante,0.849,0.741,0.972,0.0178,*
religion_Autres chretiens,1.659,1.392,1.978,0.0,***
religion_Musulmane,0.438,0.359,0.533,0.0,***
religion_Animiste,0.336,0.134,0.845,0.0204,*
religion_Sans religion,1.65,1.164,2.339,0.0049,**
expo_media_Exposee,1.137,0.985,1.314,0.0805,ns
